Record_Number,Staff_Code,Full_Name,Email_Address,ID_Number,Tax_ID_Number_NPWP,Gender,Position,Division,Job_Title,Employee_Status,Contract_Status,Contract_Period,Shift_Employee,Joining_Date,Start_Date,End_Date,Leave_Vacation_Remaining,Total_Attendance,Total_Tardiness_Minutes,Work_Date,Weekday,Arrival_Time,Departure_Time,Total_Hours_Worked,Work_Location,GPS_Latitude,GPS_Longitude,Distance_to_Office_m,Attendance_Status,Delay_in_Minutes,Timestamp_Recorded,FR_CheckIn_Match_Accuracy_Percent,FR_CheckIn_Photo_Quality_Score,FR_CheckIn_Liveness_Test_Result,FR_CheckIn_Liveness_Confidence_Percent,FR_CheckIn_Total_Scan_Attempts,FR_CheckIn_Unsuccessful_Attempts,FR_CheckIn_Operating_System,FR_CheckIn_Application_Version,FR_CheckIn_Verification_Outcome,FR_CheckIn_Failure_Reason,FR_CheckOut_Match_Accuracy,FR_CheckOut_Verification,Gaji_Pokok_IDR,Potongan_Keterlambatan_IDR,Bonus_Kehadiran_Penuh_IDR,Gaji_Bersih_IDR
ATT013,EMP002,Caroline Hargreaves,caroline.hargreaves@bbccnn.co.id,3.17E+15,12.345.678.9-002.000,Female,Head of People & Culture,People & Culture,Head of People & Culture,Active,Permanent,2023-06-01 s/d 2026-06-01,Morning (08:00 - 17:00),8/20/2019,6/1/2023,6/1/2026,12,10,1,2/3/2026,Wednesday,8:28:15,17:32:45,9.07,Global Broadcast Centre,-6.2089,106.8455,42,Present,0,2/3/2026 8:28,,,,,,,,,,,,,5396761,520,269838,5666079
ATT014,EMP002,Caroline Hargreaves,caroline.hargreaves@bbccnn.co.id,3.17E+15,12.345.678.9-002.000,Female,Head of People & Culture,People & Culture,Head of People & Culture,Active,Permanent,2023-06-01 s/d 2026-06-01,Morning (08:00 - 17:00),8/20/2019,6/1/2023,6/1/2026,12,10,1,2/4/2026,Thursday,8:25:30,17:28:20,9.05,Global Broadcast Centre,-6.2088,106.8456,39,Present,0,2/4/2026 8:25,,,,,,,,,,,,,5396761,520,269838,5666079
ATT015,EMP002,Caroline Hargreaves,caroline.hargreaves@bbccnn.co.id,3.17E+15,12.345.678.9-002.000,Female,Head of People & Culture,People & Culture,Head of People & Culture,Active,Permanent,2023-06-01 s/d 2026-06-01,Morning (08:00 - 17:00),8/20/2019,6/1/2023,6/1/2026,12,10,1,2/5/2026,Friday,8:22:10,17:26:40,9.07,Global Broadcast Centre,-6.2088,106.8456,41,Present,0,2/5/2026 8:22,,,,,,,,,,,,,5396761,520,269838,5666079
ATT016,EMP002,Caroline Hargreaves,caroline.hargreaves@bbccnn.co.id,3.17E+15,12.345.678.9-002.000,Female,Head of People & Culture,People & Culture,Head of People & Culture,Active,Permanent,2023-06-01 s/d 2026-06-01,Morning (08:00 - 17:00),8/20/2019,6/1/2023,6/1/2026,12,10,1,2/8/2026,Monday,8:30:15,17:30:45,9.01,Global Broadcast Centre,-6.2088,106.8456,40,Present,0,2/8/2026 8:30,98.9,97,Pass,98.3,1,0,Windows 11,v2.5.1,Success,-,,,5396761,520,269838,5666079
ATT017,EMP002,Caroline Hargreaves,caroline.hargreaves@bbccnn.co.id,3.17E+15,12.345.678.9-002.000,Female,Head of People & Culture,People & Culture,Head of People & Culture,Active,Permanent,2023-06-01 s/d 2026-06-01,Morning (08:00 - 17:00),8/20/2019,6/1/2023,6/1/2026,12,10,1,2/9/2026,Tuesday,8:29:30,17:31:15,9.03,Global Broadcast Centre,-6.2088,106.8456,38,Present,0,2/9/2026 8:29,,,,,,,,,,,,,5396761,520,269838,5666079
ATT018,EMP002,Caroline Hargreaves,caroline.hargreaves@bbccnn.co.id,3.17E+15,12.345.678.9-002.000,Female,Head of People & Culture,People & Culture,Head of People & Culture,Active,Permanent,2023-06-01 s/d 2026-06-01,Morning (08:00 - 17:00),8/20/2019,6/1/2023,6/1/2026,12,10,1,2/10/2026,Wednesday,8:27:45,17:29:20,9.03,Global Broadcast Centre,-6.2089,106.8455,42,Present,0,2/10/2026 8:27,,,,,,,,,,,,,5396761,520,269838,5666079
ATT019,EMP002,Caroline Hargreaves,caroline.hargreaves@bbccnn.co.id,3.17E+15,12.345.678.9-002.000,Female,Head of People & Culture,People & Culture,Head of People & Culture,Active,Permanent,2023-06-01 s/d 2026-06-01,Morning (08:00 - 17:00),8/20/2019,6/1/2023,6/1/2026,12,10,1,2/11/2026,Thursday,8:26:20,17:30:50,9.08,Global Broadcast Centre,-6.2088,106.8456,39,Present,0,2/11/2026 8:26,,,,,,,,,,,,,5396761,520,269838,5666079
ATT020,EMP002,Caroline Hargreaves,caroline.hargreaves@bbccnn.co.id,3.17E+15,12.345.678.9-002.000,Female,Head of People & Culture,People & Culture,Head of People & Culture,Active,Permanent,2023-06-01 s/d 2026-06-01,Morning (08:00 - 17:00),8/20/2019,6/1/2023,6/1/2026,12,10,1,2/12/2026,Friday,8:31:10,17:32:30,9.02,Global Broadcast Centre,-6.2088,106.8456,41,Present,1,2/12/2026 8:31,,,,,,,,,,,,,5396761,520,269838,5666079
ATT021,EMP003,Richard Ashford,richard.ashford@bbccnn.co.id,3.17E+15,12.345.678.9-003.000,Male,Commercial Partnerships Executive,Audience & Commercial,Commercial Partnerships Executive,Active,Contract,2025-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),5/10/2021,1/1/2025,12/31/2026,8,11,41,2/1/2026,Monday,8:45:30,17:45:15,9,Global Broadcast Centre,-6.2087,106.8457,52,Late,15,2/1/2026 8:45,95.8,86,Pass,93.2,3,2,iOS 17,v2.5.1,Success,-,97.2,Success,5396761,21317,0,5375444
ATT021,EMP003,Richard Ashford,richard.ashford@bbccnn.co.id,3.17E+15,12.345.678.9-003.000,Male,Commercial Partnerships Executive,Audience & Commercial,Commercial Partnerships Executive,Active,Contract,2025-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),5/10/2021,1/1/2025,12/31/2026,8,11,41,2/1/2026,Monday,8:45:30,17:45:15,9,Global Broadcast Centre,-6.2087,106.8457,52,Late,15,2/1/2026 8:45,38.7,58,Fail,45.8,1,1,iOS 17,v2.5.1,Failed,Scan blocked because face mask was detected,97.2,Success,5396761,21317,0,5375444
ATT022,EMP003,Richard Ashford,richard.ashford@bbccnn.co.id,3.17E+15,12.345.678.9-003.000,Male,Commercial Partnerships Executive,Audience & Commercial,Commercial Partnerships Executive,Active,Contract,2025-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),5/10/2021,1/1/2025,12/31/2026,8,11,41,2/2/2026,Tuesday,8:28:45,17:35:20,9.11,Global Broadcast Centre,-6.2088,106.8456,48,Present,0,2/2/2026 8:28,98.1,93,Pass,96.9,1,0,iOS 17,v2.5.1,Success,-,97.8,Success,5396761,21317,0,5375444
ATT023,EMP003,Richard Ashford,richard.ashford@bbccnn.co.id,3.17E+15,12.345.678.9-003.000,Male,Commercial Partnerships Executive,Audience & Commercial,Commercial Partnerships Executive,Active,Contract,2025-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),5/10/2021,1/1/2025,12/31/2026,8,11,41,2/3/2026,Wednesday,8:32:20,17:40:15,9.13,Global Broadcast Centre,-6.2089,106.8455,50,Present,2,2/3/2026 8:32,,,,,,,,,,,,,5396761,21317,0,5375444
ATT024,EMP003,Richard Ashford,richard.ashford@bbccnn.co.id,3.17E+15,12.345.678.9-003.000,Male,Commercial Partnerships Executive,Audience & Commercial,Commercial Partnerships Executive,Active,Contract,2025-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),5/10/2021,1/1/2025,12/31/2026,8,11,41,2/4/2026,Thursday,8:27:50,17:33:30,9.09,Global Broadcast Centre,-6.2088,106.8456,49,Present,0,2/4/2026 8:27,,,,,,,,,,,,,5396761,21317,0,5375444
ATT025,EMP003,Richard Ashford,richard.ashford@bbccnn.co.id,3.17E+15,12.345.678.9-003.000,Male,Commercial Partnerships Executive,Audience & Commercial,Commercial Partnerships Executive,Active,Contract,2025-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),5/10/2021,1/1/2025,12/31/2026,8,11,41,2/5/2026,Friday,8:29:15,17:31:45,9.04,Global Broadcast Centre,-6.2088,106.8456,47,Present,0,2/5/2026 8:29,,,,,,,,,,,,,5396761,21317,0,5375444
ATT026,EMP003,Richard Ashford,richard.ashford@bbccnn.co.id,3.17E+15,12.345.678.9-003.000,Male,Commercial Partnerships Executive,Audience & Commercial,Commercial Partnerships Executive,Active,Contract,2025-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),5/10/2021,1/1/2025,12/31/2026,8,11,41,2/8/2026,Monday,8:35:40,17:38:20,9.04,Global Broadcast Centre,-6.2087,106.8457,51,Present,5,2/8/2026 8:35,,,,,,,,,,,,,5396761,21317,0,5375444
ATT027,EMP003,Richard Ashford,richard.ashford@bbccnn.co.id,3.17E+15,12.345.678.9-003.000,Male,Commercial Partnerships Executive,Audience & Commercial,Commercial Partnerships Executive,Active,Contract,2025-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),5/10/2021,1/1/2025,12/31/2026,8,11,41,2/9/2026,Tuesday,8:26:30,17:32:15,9.1,Global Broadcast Centre,-6.2088,106.8456,48,Present,0,2/9/2026 8:26,,,,,,,,,,,,,5396761,21317,0,5375444
ATT028,EMP003,Richard Ashford,richard.ashford@bbccnn.co.id,3.17E+15,12.345.678.9-003.000,Male,Commercial Partnerships Executive,Audience & Commercial,Commercial Partnerships Executive,Active,Contract,2025-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),5/10/2021,1/1/2025,12/31/2026,8,11,41,2/10/2026,Wednesday,8:31:45,17:34:20,9.04,Global Broadcast Centre,-6.2089,106.8455,50,Present,1,2/10/2026 8:31,,,,,,,,,,,,,5396761,21317,0,5375444
ATT029,EMP003,Richard Ashford,richard.ashford@bbccnn.co.id,3.17E+15,12.345.678.9-003.000,Male,Commercial Partnerships Executive,Audience & Commercial,Commercial Partnerships Executive,Active,Contract,2025-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),5/10/2021,1/1/2025,12/31/2026,8,11,41,2/11/2026,Thursday,8:28:20,17:30:50,9.04,Global Broadcast Centre,-6.2088,106.8456,49,Present,0,2/11/2026 8:28,,,,,,,,,,,,,5396761,21317,0,5375444
ATT030,EMP003,Richard Ashford,richard.ashford@bbccnn.co.id,3.17E+15,12.345.678.9-003.000,Male,Commercial Partnerships Executive,Audience & Commercial,Commercial Partnerships Executive,Active,Contract,2025-01-01 s/d 2026-12-31,Morning (08:00 - 17:00),5/10/2021,1/1/2025,12/31/2026,8,11,41,2/12/2026,Friday,8:33:50,17:36:30,9.04,Global Broadcast Centre,-6.2088,106.8456,47,Present,3,2/12/2026 8:33,,,,,,,,,,,,,5396761,21317,0,5375444
ATT031,EMP004,Eleanor Pemberton,eleanor.pemberton@bbccnn.co.id,3.17E+15,12.345.678.9-004.000,Female,Finance Analyst,Finance & Planning,Finance Analyst,Active,Permanent,2024-03-01 s/d 2027-03-01,Morning (08:00 - 17:00),11/1/2020,3/1/2024,3/1/2027,14,10,3,2/1/2026,Monday,8:30:00,17:30:00,9,Global Broadcast Centre,-6.2088,106.8456,44,Present,0,2/1/2026 8:30,99,97,Pass,98.4,1,0,Windows 11,v2.5.1,Success,-,98.8,Success,5396761,1560,269838,5665039
ATT032,EMP004,Eleanor Pemberton,eleanor.pemberton@bbccnn.co.id,3.17E+15,12.345.678.9-004.000,Female,Finance Analyst,Finance & Planning,Finance Analyst,Active,Permanent,2024-03-01 s/d 2027-03-01,Morning (08:00 - 17:00),11/1/2020,3/1/2024,3/1/2027,14,10,3,2/2/2026,Tuesday,8:29:15,17:31:20,9.03,Global Broadcast Centre,-6.2089,106.8455,43,Present,0,2/2/2026 8:29,99.2,98,Pass,98.6,1,0,Windows 11,v2.5.1,Success,-,98.9,Success,5396761,1560,269838,5665039
ATT033,EMP004,Eleanor Pemberton,eleanor.pemberton@bbccnn.co.id,3.17E+15,12.345.678.9-004.000,Female,Finance Analyst,Finance & Planning,Finance Analyst,Active,Permanent,2024-03-01 s/d 2027-03-01,Morning (08:00 - 17:00),11/1/2020,3/1/2024,3/1/2027,14,10,3,2/3/2026,Wednesday,8:27:45,17:29:50,9.03,Global Broadcast Centre,-6.2088,106.8456,45,Present,0,2/3/2026 8:27,,,,,,,,,,,,,5396761,1560,269838,5665039
ATT034,EMP004,Eleanor Pemberton,eleanor.pemberton@bbccnn.co.id,3.17E+15,12.345.678.9-004.000,Female,Finance Analyst,Finance & Planning,Finance Analyst,Active,Permanent,2024-03-01 s/d 2027-03-01,Morning (08:00 - 17:00),11/1/2020,3/1/2024,3/1/2027,14,10,3,2/4/2026,Thursday,8:31:30,17:32:40,9.02,Global Broadcast Centre,-6.2088,106.8456,44,Present,1,2/4/2026 8:31,,,,,,,,,,,,,5396761,1560,269838,5665039
ATT035,EMP004,Eleanor Pemberton,eleanor.pemberton@bbccnn.co.id,3.17E+15,12.345.678.9-004.000,Female,Finance Analyst,Finance & Planning,Finance Analyst,Active,Permanent,2024-03-01 s/d 2027-03-01,Morning (08:00 - 17:00),11/1/2020,3/1/2024,3/1/2027,14,10,3,2/5/2026,Friday,8:28:20,17:30:15,9.03,Global Broadcast Centre,-6.2089,106.8455,42,Present,0,2/5/2026 8:28,,,,,,,,,,,,,5396761,1560,269838,5665039
ATT036,EMP004,Eleanor Pemberton,eleanor.pemberton@bbccnn.co.id,3.17E+15,12.345.678.9-004.000,Female,Finance Analyst,Finance & Planning,Finance Analyst,Active,Permanent,2024-03-01 s/d 2027-03-01,Morning (08:00 - 17:00),11/1/2020,3/1/2024,3/1/2027,14,10,3,2/8/2026,Monday,8:30:45,17:31:50,9.02,Global Broadcast Centre,-6.2088,106.8456,43,Present,0,2/8/2026 8:30,,,,,,,,,,,,,5396761,1560,269838,5665039
ATT037,EMP004,Eleanor Pemberton,eleanor.pemberton@bbccnn.co.id,3.17E+15,12.345.678.9-004.000,Female,Finance Analyst,Finance & Planning,Finance Analyst,Active,Permanent,2024-03-01 s/d 2027-03-01,Morning (08:00 - 17:00),11/1/2020,3/1/2024,3/1/2027,14,10,3,2/9/2026,Tuesday,8:29:30,17:30:20,9.01,Global Broadcast Centre,-6.2088,106.8456,44,Present,0,2/9/2026 8:29,,,,,,,,,,,,,5396761,1560,269838,5665039
ATT038,EMP004,Eleanor Pemberton,eleanor.pemberton@bbccnn.co.id,3.17E+15,12.345.678.9-004.000,Female,Finance Analyst,Finance & Planning,Finance Analyst,Active,Permanent,2024-03-01 s/d 2027-03-01,Morning (08:00 - 17:00),11/1/2020,3/1/2024,3/1/2027,14,10,3,2/10/2026,Wednesday,8:26:15,17:28:45,9.04,Global Broadcast Centre,-6.2089,106.8455,45,Present,0,2/10/2026 8:26,,,,,,,,,,,,,5396761,1560,269838,5665039
ATT039,EMP004,Eleanor Pemberton,eleanor.pemberton@bbccnn.co.id,3.17E+15,12.345.678.9-004.000,Female,Finance Analyst,Finance & Planning,Finance Analyst,Active,Permanent,2024-03-01 s/d 2027-03-01,Morning (08:00 - 17:00),11/1/2020,3/1/2024,3/1/2027,14,10,3,2/11/2026,Thursday,8:32:10,17:33:20,9.02,Global Broadcast Centre,-6.2088,106.8456,43,Present,2,2/11/2026 8:32,,,,,,,,,,,,,5396761,1560,269838,5665039
ATT040,EMP004,Eleanor Pemberton,eleanor.pemberton@bbccnn.co.id,3.17E+15,12.345.678.9-004.000,Female,Finance Analyst,Finance & Planning,Finance Analyst,Active,Permanent,2024-03-01 s/d 2027-03-01,Morning (08:00 - 17:00),11/1/2020,3/1/2024,3/1/2027,14,10,3,2/12/2026,Friday,8:27:50,17:29:30,9.03,Global Broadcast Centre,-6.2088,106.8456,42,Present,0,2/12/2026 8:27,,,,,,,,,,,,,5396761,1560,269838,5665039
ATT041,EMP005,Oliver Drummond,oliver.drummond@bbccnn.co.id,3.17E+15,12.345.678.9-005.000,Male,Digital Experience Designer,Digital & Technology,Digital Experience Designer,Active,Contract,2025-04-01 s/d 2026-03-31,Morning (08:00 - 17:00),4/1/2023,4/1/2025,3/31/2026,6,9,11,2/1/2026,Monday,8:35:20,17:40:30,9.09,Global Broadcast Centre,-6.2087,106.8457,50,Present,5,2/1/2026 8:35,97.6,90,Pass,96.1,1,0,Android 14,v2.5.1,Success,-,98.3,Success,5396761,5719,269838,5660880
ATT042,EMP005,Oliver Drummond,oliver.drummond@bbccnn.co.id,3.17E+15,12.345.678.9-005.000,Male,Digital Experience Designer,Digital & Technology,Digital Experience Designer,Active,Contract,2025-04-01 s/d 2026-03-31,Morning (08:00 - 17:00),4/1/2023,4/1/2025,3/31/2026,6,9,11,2/2/2026,Tuesday,8:28:45,17:34:15,9.09,Global Broadcast Centre,-6.2088,106.8456,48,Present,0,2/2/2026 8:28,98.8,95,Pass,97.8,1,0,Android 14,v2.5.1,Success,-,98.1,Success,5396761,5719,269838,5660880
ATT043,EMP005,Oliver Drummond,oliver.drummond@bbccnn.co.id,3.17E+15,12.345.678.9-005.000,Male,Digital Experience Designer,Digital & Technology,Digital Experience Designer,Active,Contract,2025-04-01 s/d 2026-03-31,Morning (08:00 - 17:00),4/1/2023,4/1/2025,3/31/2026,6,9,11,2/3/2026,Wednesday,8:31:20,17:36:50,9.09,Global Broadcast Centre,-6.2089,106.8455,49,Present,1,2/3/2026 8:31,,,,,,,,,,,,,5396761,5719,269838,5660880
ATT044,EMP005,Oliver Drummond,oliver.drummond@bbccnn.co.id,3.17E+15,12.345.678.9-005.000,Male,Digital Experience Designer,Digital & Technology,Digital Experience Designer,Active,Contract,2025-04-01 s/d 2026-03-31,Morning (08:00 - 17:00),4/1/2023,4/1/2025,3/31/2026,6,9,11,2/4/2026,Thursday,8:29:50,17:35:20,9.09,Global Broadcast Centre,-6.2088,106.8456,47,Present,0,2/4/2026 8:29,,,,,,,,,,,,,5396761,5719,269838,5660880
ATT045,EMP005,Oliver Drummond,oliver.drummond@bbccnn.co.id,3.17E+15,12.345.678.9-005.000,Male,Digital Experience Designer,Digital & Technology,Digital Experience Designer,Active,Contract,2025-04-01 s/d 2026-03-31,Morning (08:00 - 17:00),4/1/2023,4/1/2025,3/31/2026,6,9,11,2/5/2026,Friday,8:32:15,17:37:45,9.09,Global Broadcast Centre,-6.2088,106.8456,46,Present,2,2/5/2026 8:32,,,,,,,,,,,,,5396761,5719,269838,5660880
ATT046,EMP005,Oliver Drummond,oliver.drummond@bbccnn.co.id,3.17E+15,12.345.678.9-005.000,Male,Digital Experience Designer,Digital & Technology,Digital Experience Designer,Active,Contract,2025-04-01 s/d 2026-03-31,Morning (08:00 - 17:00),4/1/2023,4/1/2025,3/31/2026,6,9,11,2/8/2026,Monday,8:27:30,17:33:00,9.09,Global Broadcast Centre,-6.2087,106.8457,50,Present,0,2/8/2026 8:27,,,,,,,,,,,,,5396761,5719,269838,5660880
ATT047,EMP005,Oliver Drummond,oliver.drummond@bbccnn.co.id,3.17E+15,12.345.678.9-005.000,Male,Digital Experience Designer,Digital & Technology,Digital Experience Designer,Active,Contract,2025-04-01 s/d 2026-03-31,Morning (08:00 - 17:00),4/1/2023,4/1/2025,3/31/2026,6,9,11,2/9/2026,Tuesday,8:30:40,17:36:10,9.09,Global Broadcast Centre,-6.2088,106.8456,48,Present,0,2/9/2026 8:30,,,,,,,,,,,,,5396761,5719,269838,5660880
ATT049,EMP005,Oliver Drummond,oliver.drummond@bbccnn.co.id,3.17E+15,12.345.678.9-005.000,Male,Digital Experience Designer,Digital & Technology,Digital Experience Designer,Active,Contract,2025-04-01 s/d 2026-03-31,Morning (08:00 - 17:00),4/1/2023,4/1/2025,3/31/2026,6,9,11,2/11/2026,Thursday,8:33:25,17:38:55,9.09,Global Broadcast Centre,-6.2088,106.8456,47,Present,3,2/11/2026 8:33,,,,,,,,,,,,,5396761,5719,269838,5660880
ATT050,EMP005,Oliver Drummond,oliver.drummond@bbccnn.co.id,3.17E+15,12.345.678.9-005.000,Male,Digital Experience Designer,Digital & Technology,Digital Experience Designer,Active,Contract,2025-04-01 s/d 2026-03-31,Morning (08:00 - 17:00),4/1/2023,4/1/2025,3/31/2026,6,9,11,2/12/2026,Friday,8:29:10,17:34:40,9.09,Global Broadcast Centre,-6.2088,106.8456,46,Present,0,2/12/2026 8:29,,,,,,,,,,,,,5396761,5719,269838,5660880
ATT051,EMP006,Natalie Sinclair,natalie.sinclair@bbccnn.co.id,3.17E+15,12.345.678.9-006.000,Female,Brand Communications Specialist,Brand & Communications,Brand Communications Specialist,Active,Permanent,2023-09-01 s/d 2026-09-01,Morning (08:00 - 17:00),7/15/2018,9/1/2023,9/1/2026,9,10,10,2/1/2026,Monday,8:32:45,17:38:20,9.09,Global Broadcast Centre,-6.2088,106.8456,46,Present,2,2/1/2026 8:32,98.4,94,Pass,97.5,1,0,iOS 17,v2.5.1,Success,-,97.9,Success,5396761,5199,269838,5661400
ATT052,EMP006,Natalie Sinclair,natalie.sinclair@bbccnn.co.id,3.17E+15,12.345.678.9-006.000,Female,Brand Communications Specialist,Brand & Communications,Brand Communications Specialist,Active,Permanent,2023-09-01 s/d 2026-09-01,Morning (08:00 - 17:00),7/15/2018,9/1/2023,9/1/2026,9,10,10,2/2/2026,Tuesday,8:28:15,17:33:50,9.09,Global Broadcast Centre,-6.2089,106.8455,44,Present,0,2/2/2026 8:28,99,96,Pass,98.2,1,0,iOS 17,v2.5.1,Success,-,98.6,Success,5396761,5199,269838,5661400
